segmento,tiempo,frame,segundo,id,equipo,x,y,x_norm,y_norm,zona_v,zona_h,conf
1T — Inicio a TM Olimpia,1T,0,0.0,4,marmoleria,206.8,157.7,0.323,0.329,defensa,carril_izquierdo,0.71
1T — Inicio a TM Olimpia,1T,15,0.5,4,marmoleria,201.1,159.7,0.314,0.336,defensa,carril_central,0.57
1T — Inicio a TM Olimpia,1T,18,0.6,4,marmoleria,199.9,160.1,0.312,0.337,defensa,carril_central,0.54
1T — Inicio a TM Olimpia,1T,21,0.7,4,marmoleria,198.8,161.2,0.311,0.341,defensa,carril_central,0.54
1T — Inicio a TM Olimpia,1T,24,0.8,4,marmoleria,197.6,161.5,0.309,0.342,defensa,carril_central,0.54
1T — Inicio a TM Olimpia,1T,27,0.9,4,marmoleria,196.8,161.6,0.308,0.343,defensa,carril_central,0.46
1T — Inicio a TM Olimpia,1T,30,1.0,4,marmoleria,195.8,161.4,0.306,0.325,defensa,carril_izquierdo,0.55
1T — Inicio a TM Olimpia,1T,33,1.1,4,marmoleria,195.8,161.7,0.306,0.325,defensa,carril_izquierdo,0.59
1T — Inicio a TM Olimpia,1T,36,1.2,4,marmoleria,195.9,161.5,0.306,0.325,defensa,carril_izquierdo,0.6
1T — Inicio a TM Olimpia,1T,39,1.3,4,marmoleria,195.1,161.2,0.305,0.324,defensa,carril_izquierdo,0.53
1T — Inicio a TM Olimpia,1T,42,1.4,4,marmoleria,195.1,161.6,0.305,0.325,defensa,carril_izquierdo,0.52
1T — Inicio a TM Olimpia,1T,45,1.5,4,marmoleria,193.7,161.5,0.303,0.325,defensa,carril_izquierdo,0.57
1T — Inicio a TM Olimpia,1T,48,1.6,4,marmoleria,193.4,161.5,0.302,0.325,defensa,carril_izquierdo,0.59
1T — Inicio a TM Olimpia,1T,51,1.7,4,marmoleria,193.0,161.9,0.302,0.326,defensa,carril_izquierdo,0.57
1T — Inicio a TM Olimpia,1T,54,1.8,4,marmoleria,193.1,162.0,0.302,0.327,defensa,carril_izquierdo,0.55
1T — Inicio a TM Olimpia,1T,54,1.8,8,olimpia,543.4,142.2,0.849,0.259,definicion,carril_izquierdo,0.67
1T — Inicio a TM Olimpia,1T,57,1.9,4,marmoleria,193.1,161.7,0.302,0.325,defensa,carril_izquierdo,0.47
1T — Inicio a TM Olimpia,1T,57,1.9,8,olimpia,538.8,140.9,0.842,0.255,definicion,carril_izquierdo,0.63
1T — Inicio a TM Olimpia,1T,60,2.0,8,olimpia,533.1,140.2,0.833,0.253,definicion,carril_izquierdo,0.67
1T — Inicio a TM Olimpia,1T,63,2.1,8,olimpia,530.0,140.2,0.828,0.253,definicion,carril_izquierdo,0.79
1T — Inicio a TM Olimpia,1T,63,2.1,4,marmoleria,193.9,160.6,0.303,0.322,defensa,carril_izquierdo,0.45
1T — Inicio a TM Olimpia,1T,66,2.2,8,olimpia,526.6,140.2,0.823,0.252,definicion,carril_izquierdo,0.59
1T — Inicio a TM Olimpia,1T,69,2.3,8,olimpia,522.7,140.3,0.817,0.253,definicion,carril_izquierdo,0.68
1T — Inicio a TM Olimpia,1T,75,2.5,8,olimpia,518.7,139.4,0.811,0.25,definicion,carril_izquierdo,0.74
1T — Inicio a TM Olimpia,1T,75,2.5,4,marmoleria,193.6,160.8,0.302,0.322,defensa,carril_izquierdo,0.49
1T — Inicio a TM Olimpia,1T,78,2.6,8,olimpia,515.1,138.0,0.805,0.245,definicion,carril_izquierdo,0.71
1T — Inicio a TM Olimpia,1T,81,2.7,8,olimpia,510.8,138.1,0.798,0.245,definicion,carril_izquierdo,0.6
1T — Inicio a TM Olimpia,1T,84,2.8,8,olimpia,508.6,136.7,0.795,0.24,definicion,carril_izquierdo,0.6
1T — Inicio a TM Olimpia,1T,87,2.9,8,olimpia,507.9,136.1,0.794,0.239,definicion,carril_izquierdo,0.55
1T — Inicio a TM Olimpia,1T,99,3.3,4,marmoleria,186.8,160.1,0.292,0.251,defensa,carril_izquierdo,0.52
1T — Inicio a TM Olimpia,1T,102,3.4,4,marmoleria,185.3,159.2,0.29,0.248,defensa,carril_izquierdo,0.5
1T — Inicio a TM Olimpia,1T,105,3.5,4,marmoleria,185.1,160.9,0.289,0.254,defensa,carril_izquierdo,0.5
1T — Inicio a TM Olimpia,1T,108,3.6,10,marmoleria,202.2,146.5,0.316,0.2,defensa,carril_izquierdo,0.51
1T — Inicio a TM Olimpia,1T,108,3.6,4,marmoleria,185.2,162.5,0.289,0.26,defensa,carril_izquierdo,0.53
1T — Inicio a TM Olimpia,1T,111,3.7,10,marmoleria,201.9,146.6,0.315,0.201,defensa,carril_izquierdo,0.49
1T — Inicio a TM Olimpia,1T,111,3.7,8,olimpia,481.3,134.8,0.752,0.156,definicion,carril_izquierdo,0.7
